date_begin,date_end,Name,Constituency,Local Party,Group,Parliament
7/15/14,7/1/19,Catherine Bearder,South-East England,Liberal Democrat,Alliance of Liberals and Democrats for Europe Party,
7/20/04,6/7/09,Caroline Lucas,South-East England,Green,European Green Party,
6/8/09,5/6/10,Caroline Lucas,South-East England,Green,European Green Party,
5/7/10,7/14/14,Keith Taylor,South-East England,Green,European Green Party,
7/15/14,7/1/19,Keith Taylor,South-East England,Green,European Green Party,
7/20/04,6/7/09,Peter Skinner,South-East England,Labour,Party of European Socialists,
7/14/09,7/14/14,Peter Skinner,South-East England,Labour,Party of European Socialists,
7/15/14,7/1/19,Anneliese Dodds ,South-East England,Labour,Party of European Socialists,
7/20/04,6/7/09,Geoffrey Van Orden,East England,Conservative,European Conservatives and Reformists Party,
7/14/09,7/14/14,Geoffrey Van Orden,East England,Conservative,European Conservatives and Reformists Party,
7/15/14,7/1/19,Geoffrey Van Orden,East England,Conservative,European Conservatives and Reformists Party,
7/20/04,6/7/09,Christopher Beazley,East England,Conservative,European Conservatives and Reformists Party,
7/14/09,7/14/14,Vicky Ford,East England,Conservative,European Conservatives and Reformists Party,
7/15/14,12-Jun-17,Vicky Ford,East England,Conservative,European Conservatives and Reformists Party,
12-Jun-17,7/1/19,John Flack,East England,Conservative,European Conservatives and Reformists Party,
7/20/04,6/7/09,Tom Wise,East England,UKIP,Independence/Democracy,
7/14/09,7/14/14,David Campbell Bannerman,East England,UKIP,Europe of Nations and Freedom,
7/15/14,7/1/19,David Campbell Bannerman,East England,UKIP,Europe of Freedom and Direct Democracy,
7/20/04,6/7/09,Robert Sturdy,East England,Conservative,European Conservatives and Reformists Party,
7/14/09,7/14/14,Robert Sturdy,East England,Conservative,European Conservatives and Reformists Party,
7/15/14,7/1/19,Patrick O'Flynn,East England,UKIP,Europe of Freedom and Direct Democracy,
7/20/04,6/7/09,Jeffrey Titford,East England,UKIP,Independence/Democracy,
7/14/09,7/14/14,Stuart Agnew,East England,UKIP,Europe of Nations and Freedom,
7/15/14,7/1/19,Stuart Agnew,East England,UKIP,Europe of Freedom and Direct Democracy,
7/20/04,6/7/09,Andrew Duff,East England,Liberal Democrat,Alliance of Liberals and Democrats for Europe Party,
7/14/09,7/14/14,Andrew Duff,East England,Liberal Democrat,Alliance of Liberals and Democrats for Europe Party,
7/15/14,7/1/19,Tim Aker,East England,UKIP,Europe of Freedom and Direct Democracy,
7/20/04,6/7/09,Richard Howitt,East England,Labour,Party of European Socialists,
7/14/09,7/14/14,Richard Howitt,East England,Labour,Party of European Socialists,
7/15/14,11/2/16,Richard Howitt,East England,Labour,Party of European Socialists,
11/3/16,7/1/19,Alex Mayer,East England,Labour,Party of European Socialists,
7/20/04,6/7/09,Philip Bushill-Matthews,West Midlands,Conservative,European Conservatives and Reformists Party,
12/1/11,7/14/14,Anthea McIntyre,West Midlands,Conservative,European Conservatives and Reformists Party,
7/15/14,7/1/19,Anthea McIntyre,West Midlands,Conservative,European Conservatives and Reformists Party,
7/20/04,6/7/09,Philip Bradbourn,West Midlands,Conservative,European Conservatives and Reformists Party,
7/14/09,7/14/14,Philip Bradbourn,West Midlands,Conservative,European Conservatives and Reformists Party,
7/15/14,7/1/19,Daniel Dalton,West Midlands,Conservative,European Conservatives and Reformists Party,
7/20/04,6/7/09,Malcolm Harbour,West Midlands,Conservative,European Conservatives and Reformists Party,
7/14/09,7/14/14,Malcolm Harbour,West Midlands,Conservative,European Conservatives and Reformists Party,
7/15/14,7/1/19,Bill Etheridge,West Midlands,UKIP,Europe of Freedom and Direct Democracy,
7/20/04,6/7/09,Mike Nattrass,West Midlands,UKIP,Independence/Democracy,
7/14/09,7/14/14,Mike Nattrass,West Midlands,UKIP,Europe of Nations and Freedom,
7/15/14,7/1/19,Jill Seymour,West Midlands,UKIP,Europe of Freedom and Direct Democracy,
7/20/04,6/7/09,Liz Lynne,West Midlands,Liberal Democrat,Alliance of Liberals and Democrats for Europe Party,
7/14/09,3/12/12,Liz Lynne,West Midlands,Liberal Democrat,Alliance of Liberals and Democrats for Europe Party,
3/13/12,7/14/14,Phil Bennion,West Midlands,Liberal Democrat,Alliance of Liberals and Democrats for Europe Party,
7/15/14,7/1/19,James Carver,West Midlands,UKIP,Europe of Freedom and Direct Democracy,
7/20/04,6/7/09,Neena Gill,West Midlands,Labour,Party of European Socialists,
7/14/09,7/14/14,Nikki Sinclaire,West Midlands,UKIP,Europe of Nations and Freedom,
7/15/14,7/1/19,Neena Gill,West Midlands,Labour,Party of European Socialists,
7/20/04,6/7/09,Michael Cashman,West Midlands,Labour,Party of European Socialists,
7/14/09,7/14/14,Michael Cashman,West Midlands,Labour,Party of European Socialists,
7/15/14,7/1/19,Siôn Simon,West Midlands,Labour,Party of European Socialists,
7/20/04,6/7/09,Phillip Whitehead,East Midlands,Labour,Party of European Socialists,
7/14/09,3-Oct-17,Glenis Willmott,East Midlands,Labour,Party of European Socialists,
4-Oct-17,7/1/19,Rory Palmer,East Midlands,Labour,Party of European Socialists,
7/20/04,6/7/09,Derek Clark,East Midlands,UKIP,Independence/Democracy,
7/14/09,7/14/14,Derek Clark,East Midlands,UKIP,Europe of Nations and Freedom,
7/15/14,7/1/19,Margot Parker,East Midlands,UKIP,Europe of Freedom and Direct Democracy,
7/20/04,6/7/09,Roger Helmer,East Midlands,Conservative,European Conservatives and Reformists Party,
7/14/09,7/14/14,Roger Helmer,East Midlands,Conservative,European Conservatives and Reformists Party,
7/15/14,28-Jul-17,Roger Helmer,East Midlands,Conservative,European Conservatives and Reformists Party,
29-Jul-17,7/1/19,Jonathan Bullock,East Midlands,UKIP,European Conservatives and Reformists Party,
7/20/04,6/7/09,Chris Heaton-Harris,East Midlands,Conservative,European Conservatives and Reformists Party,
7/14/09,7/14/14,Emma McClarkin,East Midlands,Conservative,European Conservatives and Reformists Party,
7/15/14,7/1/19,Emma McClarkin,East Midlands,Conservative,European Conservatives and Reformists Party,
7/20/04,6/7/09,Bill Newton Dunn,East Midlands,Liberal Democrat,Alliance of Liberals and Democrats for Europe Party,
7/14/09,7/14/14,Bill Newton Dunn,East Midlands,Liberal Democrat,Alliance of Liberals and Democrats for Europe Party,
7/15/14,8-Jun-17,Andrew Lewer,East Midlands,Conservative,European Conservatives and Reformists Party,
8-Jun-17,7/1/19,Rupert Matthews,East Midlands,Conservative,European Conservatives and Reformists Party,
7/20/04,6/7/09,Robert Kilroy-Silk,East Midlands,UKIP,Independence/Democracy,
7/20/04,6/7/09,John Whittaker,North West England,UKIP,Independence/Democracy,
7/14/09,7/14/14,Paul Nuttall,North West England,UKIP,Europe of Nations and Freedom,
7/15/14,7/1/19,Paul Nuttall,North West England,UKIP,Europe of Freedom and Direct Democracy,
7/20/04,6/7/09,Den Dover,North West England,Conservative,European Conservatives and Reformists Party,
7/14/09,7/14/14,Nick Griffin,North West England,BNP,European Conservatives and Reformists Party,
7/15/14,7/1/19,Louise Bours,North West England,UKIP,Europe of Freedom and Direct Democracy,
7/20/04,6/7/09,Sir Robert Atkins,North West England,Conservative,European Conservatives and Reformists Party,
7/14/09,7/14/14,Sir Robert Atkins,North West England,Conservative,European Conservatives and Reformists Party,
7/15/14,7/1/19,Steven Woolfe,North West England,UKIP,Europe of Freedom and Direct Democracy,
7/20/04,6/7/09,David Sumberg,North West England,Conservative,European Conservatives and Reformists Party,
7/14/09,7/14/14,Jacqueline Foster,North West England,Conservative,European Conservatives and Reformists Party,
7/14/09,7/1/19,Jacqueline Foster,North West England,Conservative,European Conservatives and Reformists Party,
7/20/04,26-Nov-07,Saj Karim,North West England,Liberal Democrat,Alliance of Liberals and Democrats for Europe Party,
11/26/07,6/7/09,Saj Karim,North West England,Conservative,European Conservatives and Reformists Party,
7/14/09,7/15/14,Saj Karim,North West England,Conservative,European Conservatives and Reformists Party,
2014,7/1/19,Saj Karim,North West England,Conservative,European Conservatives and Reformists Party,
7/20/04,6/7/09,Chris Davies,North West England,Liberal Democrat,Alliance of Liberals and Democrats for Europe Party,
7/15/14,8-Jun-17,M. Afzal Khan,North West England,Labour,Party of European Socialists,
8-Jun-17,7/1/19,Wajid Khan,North West England,Labour,Party of European Socialists,
7/20/04,9/1/06,Terry Wynn,North West England,Labour,Party of European Socialists,
9/1/06,6/7/09,Brian Simpson,North West England,Labour,Party of European Socialists,
7/14/09,7/14/14,Brian Simpson,North West England,Labour,Party of European Socialists,
7/15/14,7/1/19,Julie Ward,North West England,Labour,Party of European Socialists,
7/20/04,6/7/09,Arlene McCarthy,North West England,Labour,Party of European Socialists,
7/14/09,7/14/14,Arlene McCarthy,North West England,Labour,Party of European Socialists,
7/15/14,7/1/19,Arlene McCarthy,North West England,Labour,Party of European Socialists,
7/15/14,7/1/19,Theresa Griffin,North West England,Labour,Party of European Socialists,
7/20/04,6/7/09,Gary Titley,North West England,Labour,Party of European Socialists,
7/20/04,6/7/09,Martin Callanan,North East England,Conservative,European Conservatives and Reformists Party,
7/14/09,7/14/14,Martin Callanan,North East England,Conservative,European Conservatives and Reformists Party,
7/15/14,7/1/19,Jonathan Arnott,North East England,UKIP,Europe of Freedom and Direct Democracy,
7/20/04,6/7/09,Fiona Hall,North East England,Liberal Democrat,Alliance of Liberals and Democrats for Europe Party,
7/14/09,7/15/14,Fiona Hall,North East England,Liberal Democrat,Alliance of Liberals and Democrats for Europe Party,
7/15/14,7/1/19,Paul Brannen,North East England,Labour,Party of European Socialists,
7/20/04,6/7/09,Stephen Hughes,North East England,Labour,Party of European Socialists,
7/14/09,7/14/14,Stephen Hughes,North East England,Labour,Party of European Socialists,
7/15/14,7/1/19,Judith Kirton-Darling,North East England,Labour,Party of European Socialists,
7/20/04,6/7/09,Diana Wallis,Yorkshire and the Humber,Liberal Democrat,Alliance of Liberals and Democrats for Europe Party,
7/14/09,8-Mar-12,Diana Wallis,Yorkshire and the Humber,Liberal Democrat,Alliance of Liberals and Democrats for Europe Party,
8-Mar-12,7/15/14,Rebecca Taylor,Yorkshire and the Humber,Liberal Democrat,Alliance of Liberals and Democrats for Europe Party,
7/15/14,7/1/19,Mike Hookem,Yorkshire and the Humber,UKIP,Europe of Freedom and Direct Democracy,
7/20/04,6/7/09,Edward McMillan-Scott,Yorkshire and the Humber,Conservative,European Conservatives and Reformists Party,
7/14/09,1/3/10,Edward McMillan-Scott,Yorkshire and the Humber,Conservative,European Conservatives and Reformists Party,
1/3/10,7/14/14,Edward McMillan-Scott,Yorkshire and the Humber,Liberal Democrat,Alliance of Liberals and Democrats for Europe Party,
7/15/14,7/1/19,Jane Collins,Yorkshire and the Humber,UKIP,Europe of Freedom and Direct Democracy,
7/20/04,6/7/09,Godfrey Bloom,Yorkshire and the Humber,UKIP,Europe of Freedom and Direct Democracy,
7/14/09,7/14/14,Godfrey Bloom,Yorkshire and the Humber,Independent,Europe of Freedom and Direct Democracy,
7/15/14,1/24/15,Amjad Bashir,Yorkshire and the Humber,UKIP,Europe of Freedom and Direct Democracy,
1/24/15,7/1/19,Amjad Bashir,Yorkshire and the Humber,Conservative,European Conservatives and Reformists Party,
7/20/04,6/7/09,Timothy Kirkhope,Yorkshire and the Humber,Conservative,European Conservatives and Reformists Party,
7/14/09,2014,Timothy Kirkhope,Yorkshire and the Humber,Conservative,European Conservatives and Reformists Party,
7/15/14,1-Sep-16,Timothy Kirkhope,Yorkshire and the Humber,Conservative,European Conservatives and Reformists Party,
1-Sep-16,7/1/19,John Procter,Yorkshire and the Humber,Conservative,European Conservatives and Reformists Party,
7/20/04,6/7/09,Richard Corbett,Yorkshire and the Humber,Labour,Party of European Socialists,
7/14/09,7/14/14,Andrew Brons,Yorkshire and the Humber,British National Party,Alliance of European National Movements,
7/15/14,7/1/19,Richard Corbett,Yorkshire and the Humber,Labour,Party of European Socialists,
7/20/04,6/7/09,Linda McAvan,Yorkshire and the Humber,Labour,Party of European Socialists,
7/14/09,7/14/14,Linda McAvan,Yorkshire and the Humber,Labour,Party of European Socialists,
7/15/14,7/1/19,Linda McAvan,Yorkshire and the Humber,Labour,Party of European Socialists,
7/20/04,6/7/09,Jonathan Evans,Wales,Conservative,European Conservatives and Reformists Party,
7/14/09,2014,Kay Swinburne,Wales,Conservative,European Conservatives and Reformists Party,
7/15/14,7/1/19,Kay Swinburne,Wales,Conservative,European Conservatives and Reformists Party,
7/20/04,6/7/09,Eluned Morgan,Wales,Labour,Party of European Socialists,
7/14/09,7/14/14,John Bufton,Wales,UKIP,Europe of Freedom and Democracy,
7/15/14,7/1/19,Nathan Gill,Wales,UKIP,Europe of Freedom and Direct Democracy,
7/20/04,6/7/09,Glenys Kinnock,Wales,Labour,Party of European Socialists,
7/14/09,7/14/14,Derek Vaughan,Wales,Labour,Party of European Socialists,
7/15/14,7/1/19,Derek Vaughan,Wales,Labour,Party of European Socialists,
7/20/04,6/7/09,Jill Evans,Wales,Green,European Green Party,
7/14/09,7/14/14,Jill Evans,Wales,Green,European Green Party,
7/15/14,7/1/19,Jill Evans,Wales,Green,European Green Party,
7/20/04,6/7/09,Struan Stevenson,Scotland,Conservative,European Conservatives and Reformists Party,
7/14/09,7/14/14,Struan Stevenson,Scotland,Conservative,European Conservatives and Reformists Party,
7/15/14,6/22/17,Ian Duncan,Scotland,Conservative,European Conservatives and Reformists Party,
6/23/17,7/1/19,Nosheena Mobarik,Scotland,Conservative,European Conservatives and Reformists Party,
7/20/04,6/7/09,Elspeth Attwooll,Scotland,Liberal Democrat,Alliance of Liberals and Democrats for Europe Party,
7/14/09,7/14/14,George Lyon,Scotland,Liberal Democrat,Alliance of Liberals and Democrats for Europe Party,
7/15/14,7/1/19,David Coburn,Scotland,UKIP,Europe of Freedom and Direct Democracy,
7/20/04,6/7/09,Alyn Smith,Scotland,SNP,European Free Alliance,
7/14/09,2014,Alyn Smith,Scotland,SNP,European Free Alliance,
7/15/14,7/1/19,Alyn Smith,Scotland,SNP,European Free Alliance,
7/20/04,6/7/09,Ian Hudghton,Scotland,SNP,European Free Alliance,
7/14/09,2014,Ian Hudghton,Scotland,SNP,European Free Alliance,
7/15/14,7/1/19,Ian Hudghton,Scotland,SNP,European Free Alliance,
7/20/04,6/7/09,David Martin,Scotland,Labour,Party of European Socialists,
7/14/09,2014,David Martin,Scotland,Labour,Party of European Socialists,
7/15/14,7/1/19,David Martin,Scotland,Labour,Party of European Socialists,
7/20/04,6/7/09,Catherine Stihler,Scotland,Labour,Party of European Socialists,
7/14/09,2014,Catherine Stihler,Scotland,Labour,Party of European Socialists,
7/15/14,7/1/19,Catherine Stihler,Scotland,Labour,Party of European Socialists,
7/20/04,6/7/09,John Purvis,Scotland,Conservative,European Conservatives and Reformists Party,
7/20/04,6/7/09,Jim Allister,Northern Ireland,Traditional Unionist Voice,Non-Inscrits,
7/14/09,2014,Diane Dodds,Northern Ireland,Democratic Unionist,Non-Inscrits,
7/15/14,7/1/19,Diane Dodds,Northern Ireland,Democratic Unionist,Non-Inscrits,
7/20/04,6/7/09,Bairbre de Brún,Northern Ireland,Sinn Féin,Non-Inscrits,
7/14/09,2014,Martina Anderson,Northern Ireland,Sinn Féin,Non-Inscrits,
7/15/14,7/1/19,Martina Anderson,Northern Ireland,Sinn Féin,Non-Inscrits,
7/20/04,6/7/09,Jim Nicholson,Northern Ireland,Conservatives and Unionists,Alliance of Conservatives and Reformists in Europe,
7/14/09,7/14/14,Jim Nicholson,Northern Ireland,Conservatives and Unionists,Alliance of Conservatives and Reformists in Europe,
7/15/14,7/1/19,Jim Nicholson,Northern Ireland,Conservatives and Unionists,Alliance of Conservatives and Reformists in Europe,
7/20/04,6/7/09,Agnoletto Vittorio,North-West,  Communist Refoundation Party,European United Left–Nordic Green Left,
7/20/04,6/7/09,Albertini Gabriele,North-West,  Forward Italy,European People's Party,
7/20/04,6/7/09,Bonsignore Vito,North-West,  Union of Christian and Central Democrats,European People's Party,
7/20/04,6/7/09,Chiesa Giulietto,North-West,  Italy of Values,Alliance of Liberals and Democrats for Europe,
7/20/04,6/7/09,Fatuzzo Carlo,North-West,  Pensioners' Party,European People's Party,
7/20/04,6/7/09,Ferrari Francesco,North-West,  Uniti nell'Ulivo (until 6 February 2008),Alliance of Liberals and Democrats for Europe,
7/20/04,6/7/09,Frassoni Monica,North-West,  Federation of the Greens,The Greens–European Free Alliance,
7/20/04,6/7/09,Gawronski Jas,North-West,  Forward Italy,European People's Party,
7/20/04,6/7/09,Locatelli Pia Elda,North-West,  Uniti nell'Ulivo (until 17 February 2005),Party of European Socialists,
7/20/04,6/7/09,Mantovani Mario,North-West,  Forward Italy,European People's Party,
7/20/04,6/7/09,Mauro Mario,North-West,  Forward Italy,European People's Party,
7/20/04,6/7/09,Pannella Marco,North-West,  Bonino List,Alliance of Liberals and Democrats for Europe,
7/20/04,6/7/09,Panzeri Pier Antonio,North-West,  Uniti nell'Ulivo (until 14 February 2005),Party of European Socialists,
7/20/04,6/7/09,Podestà Guido,North-West,  Forward Italy,European People's Party,
7/20/04,6/7/09,Rizzo Marco,North-West,  Party of Communists,European United Left–Nordic Green Left,
7/20/04,6/7/09,Rivera Giovanni,North-West,  Uniti nell'Ulivo (until 14 February 2008),Non-Inscrits,
7/20/04,6/7/09,Susta Gianluca,North-West,  Democratic Party,Alliance of Liberals and Democrats for Europe,
7/20/04,6/7/09,Toia Patrizia,North-West,  The Daisy (until 6 February 2008),Alliance of Liberals and Democrats for Europe,
7/20/04,6/7/09,Berlinguer Giovanni,North-East,  Democrats of the Left (until 18 February 2008),Party of European Socialists,
7/20/04,4/26/06,Borghezio Mario,North-West,  North League,Independence/Democracy,
4/26/06,12/12/06,Borghezio Mario,North-West,  North League,Non-Inscrits,
12/12/06,6/7/09,Borghezio Mario,North-West,  North League,Union for Europe of the Nations,
7/20/04,4/26/06,Speroni Francesco,North-West,  North League,Independence/Democracy,
4/26/06,12/12/06,Speroni Francesco,North-West,  North League,Non-Inscrits,
12/13/06,6/7/09,Speroni Francesco,North-West,  North League,Union for Europe of the Nations,
7/20/04,6/7/09,Muscardini Cristina,North-West,  National Alliance,Union for Europe of the Nations,
7/20/04,11/3/08,La Russa Romano Maria,North-West,  National Alliance,Union for Europe of the Nations,
7/20/04,6/7/09,Berlato Sergio,North-East,  National Alliance,Union for Europe of the Nations,
7/20/04,4/26/06,Bossi Umberto,North-East,  North League (until 25 June 2008),Independence/Democracy,
7/20/04,12/12/06,Robusti Giovanni,North-East,  Independent,Non-Inscrits,
12/13/06,6/7/09,Robusti Giovanni,North-East,  Independent,Union for Europe of the Nations,
7/20/04,4/26/06,Salvini Matteo,North-East,  North League,Independence/Democracy,
4/26/06,12/12/06,Gobbo Gian Paolo,North-East,  North League,Non-Inscrits,
12/12/06,6/7/09,Boso Erminio,North-East,  North League,Union for Europe of the Nations,
7/20/04,6/7/09,Braghetto Iles,North-East,  Union of Christian and Central Democrats,European People's Party,
7/20/04,6/7/09,Brunetta Renato,North-East,  Forward Italy,European People's Party,
7/20/04,5/8/06,Cappato Marco,North-East,  Bonino List,Alliance of Liberals and Democrats for Europe,
7/20/04,6/7/09,Carollo Giorgio,North-East,  Forward Italy,European People's Party,
7/20/04,6/7/09,Costa Paolo,North-East,  Uniti nell'Ulivo (until 17 February 2005),Alliance of Liberals and Democrats for Europe,
7/20/04,6/7/09,Ebner Michl,North-East,  People's Party (South Tyrol),European People's Party,
7/20/04,6/7/09,Gottardi Donata,North-East,  Uniti nell'Ulivo (until 30 May 2006),Party of European Socialists,
7/20/04,6/7/09,Kusstatscher Sepp,North-East,  Federation of the Greens,The Greens–European Free Alliance,
7/20/04,6/7/09,Musacchio Roberto,North-East,  Communist Refoundation Party,European United Left–Nordic Green Left,
7/20/04,6/7/09,Prodi Vittorio,North-East,  Uniti nell'Ulivo (until 17 February 2005),Alliance of Liberals and Democrats for Europe,
7/20/04,6/7/09,Sartori Amalia,North-East,  Forward Italy,European People's Party,
7/20/04,6/7/09,Zani Mauro,North-East,  Uniti nell'Ulivo (until 27 July 2004),Party of European Socialists,
7/20/04,6/7/09,Antnazzi Alfredo,Central,  Forward Italy,European People's Party,
7/20/04,10/20/07,Alessandro Battilocchio,Central,  New Socialist Party (until 18 February 2008),Non-Inscrits,
10/20/07,6/7/09,Alessandro Battilocchio,Central,  Socialist Party,Party of European Socialists,
7/20/04,6/7/09,Casini Carlo,Central,  Union of Christian and Central Democrats,European People's Party,
7/20/04,6/7/09,Gruber Lilli,Central,  Independent (until 18 February 2008),Party of European Socialists,
7/20/04,6/7/09,Guidoni Umberto,Central,  Party of Communists,European United Left–Nordic Green Left,
7/20/04,6/7/09,Luisa MORGANTINI,Central,  Communist Refoundation Party,European United Left–Nordic Green Left,
7/20/04,28-Apr-08,Mussolini Alessandra,Central,  Social Alternative (until 15 April 2009),Non-Inscrits,
7/20/04,11/13/07,Roberto Fiore,Central,  New Force,"Identity, Tradition, Sovereignty",
11/14/07,6/7/09,Roberto Fiore,Central,  New Force,Non-Inscrits,
7/20/04,6/7/09,Napoletano Pasqualina,Central,  Democrats of the Left (until 18 February 2008),Party of European Socialists,
7/20/04,6/7/09,Pistelli Lapo,Central,  The Daisy (until 6 February 2008),Alliance of Liberals and Democrats for Europe,
7/20/04,6/7/09,Sacconi Guido,Central,  Uniti nell'Ulivo (until 28 July 2004),Party of European Socialists,
7/20/04,6/7/09,Sbarbati Luciana,Central,  Uniti nell'Ulivo (until 17 February 2005),Alliance of Liberals and Democrats for Europe,
7/20/04,6/7/09,Tajani Antonio,Central,  Forward Italy,European People's Party,
7/20/04,6/7/09,Zappalà Stefano,Central,  Forward Italy,European People's Party,
7/20/04,6/7/09,Zingaretti Nicola,Central,  Democrats of the Left (until 18 February 2008),Party of European Socialists,
7/20/04,6/7/09,Aita Vincenzo,Southern,  Communist Refoundation Party,European United Left–Nordic Green Left,
7/20/04,6/7/09,Andria Alfonso,Southern,  Uniti nell'Ulivo (until 17 February 2005),Alliance of Liberals and Democrats for Europe,
7/20/04,10/23/07,De Michelis Gianni,Southern,  New Socialist Party (until 18 February 2008),Non-Inscrits,
10/23/07,6/7/09,De Michelis Gianni,Southern,  Socialist Party,Party of European Socialists,
7/20/04,6/7/09,Gargani Giuseppe,Southern,  Forward Italy,European People's Party,
7/20/04,6/7/09,Lavarra Vincenzo,Southern,  Democratic Party,Party of European Socialists,
7/20/04,6/7/09,Losco Andrea,Southern,  Democratic Party,Alliance of Liberals and Democrats for Europe,
7/20/04,3/28/07,Occhetto Achille,Southern,  Italy of Values (until 17 May 2006),Party of European Socialists,
3/28/07,6/7/09,Occhetto Achille,Southern,  Independent (until 28 March 2007),Party of European Socialists,
7/20/04,6/7/09,Patriciello Aldo,Southern,  Union of Christian and Central Democrats,European People's Party,
7/20/04,6/7/09,Pittella Giovanni,Southern,  Uniti nell'Ulivo (until 17 February 2005),Party of European Socialists,
7/20/04,6/7/09,Foglietta Alessandro,Central,  National Alliance,Union for Europe of the Nations,
7/20/04,6/7/09,Pirilli Umberto,Southern,  National Alliance,Union for Europe of the Nations,
7/20/04,6/7/09,Angelilli Roberta,Central,  National Alliance,Union for Europe of the Nations,
7/20/04,6/7/09,Poli Bortone Adriana,Southern,  National Alliance,Union for Europe of the Nations,
7/20/04,6/7/09,Tatarella Salvatore,Southern,  National Alliance,Union for Europe of the Nations,
7/20/04,6/7/09,Musumeci Nello,Islands,  The Right - Sicilian Alliance,Union for Europe of the Nations,
7/20/04,1/14/07,Romagnoli Luca,Southern,  Tricolour Flame,Non-Inscrits,
1/14/07,11/13/07,Romagnoli Luca,Southern,  Tricolour Flame,"Identity, Tradition, Sovereignty",
11/13/07,6/7/09,Romagnoli Luca,Southern,  Tricolour Flame,Non-Inscrits,
7/20/04,6/7/09,Ventre Riccardo,Southern,  Forward Italy,European People's Party,
7/20/04,7/1/05,Veneto Armando,Southern,  Popular Alliance - Union of Democrats for Europe (31 August 2008),European People's Party,
7/20/04,6/7/09,Veraldi Donato Tommaso,Southern,  Uniti nell'Ulivo (until 14 May 2006),Alliance of Liberals and Democrats for Europe,
7/20/04,6/7/09,Vernola Marcello,Southern,  Forward Italy,European People's Party,
7/20/04,6/7/09,Castiglione Giuseppe,Islands,  Forward Italy,European People's Party,
7/20/04,6/7/09,Catania Giusto,Islands,  Communist Refoundation Party,European United Left–Nordic Green Left,
7/20/04,6/7/09,Cocilovo Luigi,Islands,  Democratic Party,Alliance of Liberals and Democrats for Europe,
7/20/04,6/7/09,Fava Claudio,Islands,  Democrats of the Left (until 18 February 2008),Party of European Socialists,
7/20/04,6/7/09,Lombardo Raffaele,Islands,  Movement for Autonomy,European People's Party,
7/20/04,6/7/09,Musotto Francesco,Islands,  Forward Italy,European People's Party,
7/14/09,7/6/05,Gabriele Albertini,North-West,Le Peuple de la liberté,European People's Party,
7/14/09,7/14/14,Sonia Alfano,North-West,Italie des valeurs,Alliance of Liberals and Democrats for Europe,
7/14/09,7/14/14,Magdi Allam,North-West,"""Io amo l'Italia""",European People's Party,
7/14/09,7/14/14,Roberta Angelilli,Central,Le Peuple de la liberté,European People's Party,
7/14/09,7/14/14,Alfredo Antoniozzi,Central,Le Peuple de la liberté,European People's Party,
7/14/09,7/14/14,Pino Arlacchi,Southern,Italie des valeurs,Alliance of Liberals and Democrats for Europe,
7/14/09,7/14/14,Raffaele Baldassarre,Southern,Le Peuple de la liberté,European People's Party,
7/14/09,7/14/14,Francesca Balzani,North-West,Parti démocrate,Party of European Socialists ,
7/14/09,12/17/14,Rosario Crocetta,Islands,Parti démocrate,Party of European Socialists ,
12/17/14,3/11/14,Francesca Barracciu,Islands,Parti démocrate,Party of European Socialists ,
3/11/14,7/14/14,Giovanni Barbagallo,Islands,Parti démocrate,Party of European Socialists ,
7/14/09,7/14/14,Paolo Bartolozzi,Central,Le Peuple de la liberté,European People's Party,
7/14/09,7/14/14,Sergio Berlato,North-East,Le Peuple de la liberté,European People's Party,
7/14/09,7/14/14,Luigi Berlinguer,North-East,Parti démocrate,Party of European Socialists ,
7/14/09,7/14/14,Mara Bizzotto,North-East,Ligue du Nord,Europe of Freedom and Democracy,
7/14/09,7/14/14,Vito Bonsignore,North-West,Le Peuple de la liberté,European People's Party,
7/14/09,7/14/14,Mario Borghezio,North-West,Ligue du Nord,Europe of Freedom and Democracy,
7/14/09,7/14/14,Rita Borsellino,Islands,Parti démocrate,Party of European Socialists ,
7/14/09,7/14/14,Toni Cancian,North-East,Le Peuple de la liberté,European People's Party,
7/14/09,7/14/14,Salvatore Caronna,North-East,Parti démocrate,Party of European Socialists ,
7/14/09,7/14/14,Carlo Casini,Central,Union de Central,European People's Party,
7/14/09,7/14/14,Sergio Cofferati,North-West,Parti démocrate,Party of European Socialists ,
7/14/09,6/6/11,Giovanni Collino,North-East,Le Peuple de la liberté,European People's Party,
6/6/11,7/14/14,Giuseppe Gargani,North-East,Le Peuple de la liberté,European People's Party,
7/14/09,7/14/14,Lara Comi,North-West,Le Peuple de la liberté,European People's Party,
7/14/09,7/14/14,Silvia Costa,Central,Parti démocrate,Party of European Socialists ,
7/14/09,7/14/14,Andrea Cozzolino,Southern,Parti démocrate,Party of European Socialists ,
7/14/09,7/14/14,Francesco De Angelis,Central,Parti démocrate,Party of European Socialists ,
7/14/09,7/14/14,Paolo De Castro,Southern,Parti démocrate,Party of European Socialists ,
7/14/09,7/14/14,Luigi de Magistris,North-East,Italie des valeurs,Alliance of Liberals and Democrats for Europe,
7/14/09,7/14/14,Leonardo Domenici,Central,Parti démocrate,Party of European Socialists ,
7/14/09,7/14/14,Herbert Dorfmann,North-East,Parti populaire Southern-tyrolien,European People's Party,
7/14/09,7/14/14,Carlo Fidanza,North-West,Le Peuple de la liberté,European People's Party,
7/14/09,7/14/14,Lorenzo Fontana,North-East,Ligue du Nord,Europe of Freedom and Democracy,
